Item_ID,Item_Name,Category,Dispatch_Date,Dispatch_Quantity,Warehouse,Inbound_Date,Inbound_Quantity,Supplier,Lead_Time_Days,Stock_Level_Before_Dispatch,Stock_Level_After_Dispatch
16252-NEW-710-RAW,Raw Materials Item 86,RAW MATERIALS,2024-08-05,76,Warehouse 1,2024-07-28,91,Supplier A,8,273,244
66377-NEW-068-WOR,Work-In-Progress Item 339,WORK-IN-PROGRESS,2025-04-09,50,Warehouse 3,2025-04-03,46,Supplier D,8,297,283
62096-NEW-031-SPA,Spare Parts Item 210,SPARE PARTS,2025-01-01,46,Warehouse 2,2024-12-25,60,Supplier B,8,159,148
14601-NEW-098-RAW,Raw Materials Item 40,RAW MATERIALS,2025-07-23,47,Warehouse 2,2025-07-17,47,Supplier E,5,184,162
52580-NEW-682-CON,Consumables Item 434,CONSUMABLES,2024-04-13,89,Warehouse 3,2024-04-06,93,Supplier A,5,234,221
80107-012-R00-USA-CVL-0025FE-2.0G-DJ,FOIL ENV TBAG 025/2.0g/12 DARJEELING,FINISHED GOODS,2024-05-02,15,Warehouse 1,2024-04-27,12,Supplier A,8,217,214
80314-006-R00-IDN-EWI-0025FE-2.0G-EGOS,FOIL ENV TBAG 025/2.0g/06 EMERALD GREEN-ORGANIC SENCHA GREEN TEA,FINISHED GOODS,2024-04-10,10,Warehouse 1,2024-04-03,28,Supplier E,6,181,199
60188-NEW-354-PAC,Packaging Materials Item 459,PACKAGING MATERIALS,2024-02-13,12,Warehouse 3,2024-02-07,12,Supplier E,5,258,233
10246-NEW-221-RAW,Raw Materials Item 77,RAW MATERIALS,2024-06-10,70,Warehouse 2,2024-06-03,85,Supplier D,2,137,122
81111-NEW-312-SPA,Spare Parts Item 311,SPARE PARTS,2024-11-15,97,Warehouse 2,2024-11-11,110,Supplier A,7,121,101
99337-NEW-603-PAC,Packaging Materials Item 382,PACKAGING MATERIALS,2024-09-22,93,Warehouse 3,2024-09-16,104,Supplier E,5,136,130
35195-NEW-666-PAC,Packaging Materials Item 323,PACKAGING MATERIALS,2024-07-03,89,Warehouse 3,2024-06-24,104,Supplier D,2,266,240
54508-NEW-663-PAC,Packaging Materials Item 163,PACKAGING MATERIALS,2025-05-04,23,Warehouse 2,2025-04-28,27,Supplier D,5,197,186
80311-006-R00-CAN-EFF-0020FE-1.5G-MCS.GCS,FOIL ENV TBAG 020/1.5g/06 MASALA CHAI GENTLE CEYLON SPICE(CA,FINISHED GOODS,2024-01-18,45,Warehouse 1,2024-01-20,56,Supplier E,10,195,206
95428-NEW-299-PAC,Packaging Materials Item 327,PACKAGING MATERIALS,2025-05-07,29,Warehouse 1,2025-04-30,39,Supplier A,3,187,182
49039-NEW-411-SPA,Spare Parts Item 270,SPARE PARTS,2024-06-20,76,Warehouse 3,2024-06-13,91,Supplier C,6,103,96
24907-NEW-081-PAC,Packaging Materials Item 429,PACKAGING MATERIALS,2024-09-28,28,Warehouse 3,2024-09-26,31,Supplier E,10,229,218
30474-NEW-314-CON,Consumables Item 257,CONSUMABLES,2024-07-19,87,Warehouse 3,2024-07-14,93,Supplier C,2,116,95
34734-NEW-057-CON,Consumables Item 430,CONSUMABLES,2024-12-02,43,Warehouse 3,2024-11-30,41,Supplier C,7,169,162
80440-012-R00-GRC-AFS-0020FE-1.5G-RH,FOIL ENV TBAG 020/1.5g/12 ROSEHIP,FINISHED GOODS,2024-04-29,23,Warehouse 1,2024-04-24,56,Supplier E,6,397,430
54489-NEW-625-WOR,Work-In-Progress Item 276,WORK-IN-PROGRESS,2024-02-20,84,Warehouse 1,2024-02-18,82,Supplier E,9,230,208
51851-NEW-858-SPA,Spare Parts Item 25,SPARE PARTS,2025-03-16,11,Warehouse 3,2025-03-06,22,Supplier D,6,165,141
53855-NEW-287-PAC,Packaging Materials Item 169,PACKAGING MATERIALS,2025-08-04,44,Warehouse 2,2025-07-27,48,Supplier B,7,118,91
39644-NEW-562-CON,Consumables Item 86,CONSUMABLES,2025-04-03,84,Warehouse 2,2025-03-24,97,Supplier E,3,163,148
26057-NEW-183-RAW,Raw Materials Item 143,RAW MATERIALS,2024-07-10,42,Warehouse 2,2024-07-04,57,Supplier B,6,257,243
98164-NEW-262-SPA,Spare Parts Item 266,SPARE PARTS,2024-11-04,49,Warehouse 2,2024-10-27,47,Supplier B,2,273,256
58907-NEW-650-RAW,Raw Materials Item 335,RAW MATERIALS,2025-02-07,14,Warehouse 2,2025-01-31,27,Supplier C,7,122,110
22832-NEW-886-PAC,Packaging Materials Item 483,PACKAGING MATERIALS,2024-03-30,73,Warehouse 2,2024-03-25,68,Supplier D,4,240,211
68312-NEW-252-SPA,Spare Parts Item 35,SPARE PARTS,2025-09-14,14,Warehouse 2,2025-09-07,12,Supplier B,6,273,251
88326-NEW-136-WOR,Work-In-Progress Item 217,WORK-IN-PROGRESS,2024-07-23,81,Warehouse 1,2024-07-18,88,Supplier D,7,153,136
85383-NEW-367-SPA,Spare Parts Item 460,SPARE PARTS,2025-06-26,82,Warehouse 1,2025-06-16,97,Supplier C,8,231,213
17235-NEW-112-CON,Consumables Item 437,CONSUMABLES,2025-06-14,19,Warehouse 3,2025-06-04,17,Supplier B,7,129,112
67564-NEW-628-CON,Consumables Item 287,CONSUMABLES,2025-04-30,18,Warehouse 3,2025-04-28,22,Supplier B,2,205,182
91233-NEW-498-WOR,Work-In-Progress Item 262,WORK-IN-PROGRESS,2024-07-16,30,Warehouse 2,2024-07-08,39,Supplier C,2,254,239
80410-006-R00-CHL-PBL-LEAFTE-100G-CGT,LEAF TEA 100g/06 CEYLON GREEN,FINISHED GOODS,2024-09-24,24,Warehouse 1,2024-09-15,15,Supplier C,5,140,131
54044-NEW-416-RAW,Raw Materials Item 222,RAW MATERIALS,2024-08-02,77,Warehouse 3,2024-07-30,88,Supplier C,8,145,116
26426-NEW-382-CON,Consumables Item 74,CONSUMABLES,2025-02-27,84,Warehouse 1,2025-02-18,88,Supplier B,10,224,210
81947-NEW-472-SPA,Spare Parts Item 391,SPARE PARTS,2024-09-19,100,Warehouse 3,2024-09-17,108,Supplier B,5,133,119
27796-NEW-360-RAW,Raw Materials Item 426,RAW MATERIALS,2024-05-01,63,Warehouse 2,2024-04-25,66,Supplier B,9,265,255
80283-012-R00-WAF-SSG-0020FE-2.0G-VN,FOIL ENV TBAG 020/2.0g/12 VANILLA,FINISHED GOODS,2024-02-20,11,Warehouse 1,2024-02-20,37,Supplier B,7,200,226
81967-001-R00-000-000-LEAFTE-070G-ICNJAS,TPR CERAMIC CADDY 0070g/01 IMPERIAL CHINA NATURAL JASMINE GREEN TEA,FINISHED GOODS,2024-03-30,39,Warehouse 1,2024-03-27,32,Supplier E,12,291,284
99480-NEW-986-PAC,Packaging Materials Item 494,PACKAGING MATERIALS,2025-03-24,39,Warehouse 3,2025-03-15,34,Supplier E,7,136,124
58611-NEW-135-WOR,Work-In-Progress Item 422,WORK-IN-PROGRESS,2024-01-20,19,Warehouse 3,2024-01-18,26,Supplier B,6,260,234
38303-NEW-192-WOR,Work-In-Progress Item 238,WORK-IN-PROGRESS,2024-10-21,38,Warehouse 2,2024-10-18,35,Supplier C,10,208,179
80021-024-R00-TWN-WIC-0050ST-2.0G-PRM,TAG TBAG 050/2.0g/24 PREMIUM,FINISHED GOODS,2024-08-23,44,Warehouse 1,2024-08-31,58,Supplier B,11,260,274
74214-NEW-385-CON,Consumables Item 434,CONSUMABLES,2025-07-20,11,Warehouse 1,2025-07-14,23,Supplier C,4,200,187
22263-NEW-456-PAC,Packaging Materials Item 328,PACKAGING MATERIALS,2025-04-02,28,Warehouse 2,2025-03-26,23,Supplier E,7,213,189
93142-NEW-304-SPA,Spare Parts Item 351,SPARE PARTS,2024-07-14,65,Warehouse 3,2024-07-04,71,Supplier D,9,201,173
81641-NEW-106-SPA,Spare Parts Item 367,SPARE PARTS,2025-02-01,55,Warehouse 3,2025-01-29,70,Supplier A,3,146,121
89419-NEW-156-RAW,Raw Materials Item 494,RAW MATERIALS,2024-11-26,61,Warehouse 1,2024-11-21,60,Supplier E,4,128,103
90563-NEW-378-RAW,Raw Materials Item 18,RAW MATERIALS,2025-02-28,32,Warehouse 2,2025-02-22,36,Supplier D,4,132,107
24001-NEW-214-CON,Consumables Item 214,CONSUMABLES,2024-07-19,80,Warehouse 2,2024-07-16,87,Supplier B,2,246,216
65425-NEW-159-SPA,Spare Parts Item 271,SPARE PARTS,2024-08-26,57,Warehouse 1,2024-08-16,72,Supplier B,8,279,250
87476-NEW-116-SPA,Spare Parts Item 254,SPARE PARTS,2025-03-26,28,Warehouse 1,2025-03-22,31,Supplier B,9,144,116
44109-NEW-829-CON,Consumables Item 46,CONSUMABLES,2024-02-05,12,Warehouse 1,2024-01-28,9,Supplier C,5,200,185
80086-012-R00-GBR-WBL-0025FE-2.0G-EB,FOIL ENV TBAG 025/2.0g/12 ENGLISH BREAKFAST,FINISHED GOODS,2024-06-29,47,Warehouse 1,2024-06-22,10,Supplier C,12,471,434
81497-004-FS0-PHL-EIC-0030FE-2.0G-PM,t SACHET 030's/2.0g/04 PURE PEPPERMINT LEAVES,FINISHED GOODS,2024-10-16,9,Warehouse 1,2024-10-25,45,Supplier B,12,139,175
94324-NEW-989-RAW,Raw Materials Item 347,RAW MATERIALS,2025-07-17,27,Warehouse 2,2025-07-15,41,Supplier B,8,236,228
36506-NEW-980-CON,Consumables Item 449,CONSUMABLES,2025-04-25,58,Warehouse 1,2025-04-23,61,Supplier C,9,222,210
97389-NEW-583-SPA,Spare Parts Item 212,SPARE PARTS,2025-01-29,45,Warehouse 1,2025-01-25,42,Supplier C,6,251,231
14725-NEW-902-RAW,Raw Materials Item 322,RAW MATERIALS,2024-08-11,44,Warehouse 2,2024-08-02,39,Supplier B,5,284,262
37789-NEW-383-PAC,Packaging Materials Item 47,PACKAGING MATERIALS,2024-01-14,89,Warehouse 1,2024-01-10,104,Supplier E,3,125,99
80107-012-R00-ITA-NFF-0025FE-2.0G-DJ,FOIL ENV TBAG 025/2.0g/12 DARJEELING,FINISHED GOODS,2024-01-12,29,Warehouse 1,2024-01-19,33,Supplier D,13,369,373
92103-NEW-222-CON,Consumables Item 407,CONSUMABLES,2025-01-27,47,Warehouse 3,2025-01-20,54,Supplier E,3,208,187
76963-NEW-901-WOR,Work-In-Progress Item 410,WORK-IN-PROGRESS,2025-08-21,76,Warehouse 2,2025-08-14,85,Supplier A,4,175,163
80119-012-R00-USA-CVL-0025ST-2.0G-EB,TAG TBAG 025/2.0g/12 ENGLISH BREAKFAST,FINISHED GOODS,2024-06-07,34,Warehouse 1,2024-06-16,30,Supplier E,6,291,287
73935-NEW-588-RAW,Raw Materials Item 90,RAW MATERIALS,2025-06-29,69,Warehouse 1,2025-06-25,67,Supplier A,3,203,182
80342-012-R00-UZB-AZI-0025ST-2.0G-SGT,TAG TBAG 025/2.0g/12 SENCHA GREEN,FINISHED GOODS,2024-08-07,48,Warehouse 1,2024-08-03,51,Supplier C,9,122,125
80023-006-R00-NPL-MTL-VACCUM-500G-PRM,LEAF TEA 500g/06 PREMIUM,FINISHED GOODS,2024-02-20,35,Warehouse 1,2024-02-23,18,Supplier A,8,141,124
72389-NEW-569-PAC,Packaging Materials Item 230,PACKAGING MATERIALS,2024-09-22,43,Warehouse 1,2024-09-18,46,Supplier C,5,158,133
51860-NEW-873-SPA,Spare Parts Item 327,SPARE PARTS,2025-10-05,94,Warehouse 2,2025-09-29,98,Supplier E,5,289,269
84310-NEW-148-WOR,Work-In-Progress Item 234,WORK-IN-PROGRESS,2025-09-17,67,Warehouse 3,2025-09-15,70,Supplier E,9,210,196
15324-NEW-382-CON,Consumables Item 177,CONSUMABLES,2025-08-31,91,Warehouse 2,2025-08-27,103,Supplier D,2,184,165
77042-NEW-468-CON,Consumables Item 293,CONSUMABLES,2025-01-24,27,Warehouse 1,2025-01-14,32,Supplier B,8,157,133
63578-NEW-662-PAC,Packaging Materials Item 64,PACKAGING MATERIALS,2024-12-12,93,Warehouse 3,2024-12-04,107,Supplier C,9,181,151
93975-NEW-814-CON,Consumables Item 407,CONSUMABLES,2025-10-01,49,Warehouse 1,2025-09-23,55,Supplier A,8,273,244
80058-NEW-414-SPA,Spare Parts Item 284,SPARE PARTS,2025-05-19,62,Warehouse 3,2025-05-17,77,Supplier B,9,142,133
66509-NEW-221-PAC,Packaging Materials Item 222,PACKAGING MATERIALS,2025-07-26,29,Warehouse 2,2025-07-22,34,Supplier A,6,177,159
80314-006-R00-HKN-QTL-0025FE-2.0G-EGOS,FOIL ENV TBAG 025/2.0g/06 EMERALD GREEN-ORGANIC SENCHA GREEN TEA,FINISHED GOODS,2024-05-15,41,Warehouse 1,2024-05-14,56,Supplier B,10,123,138
52047-NEW-164-WOR,Work-In-Progress Item 267,WORK-IN-PROGRESS,2024-03-09,93,Warehouse 2,2024-03-03,104,Supplier A,9,292,270
26180-NEW-552-RAW,Raw Materials Item 22,RAW MATERIALS,2024-02-17,29,Warehouse 3,2024-02-10,43,Supplier C,6,136,127
53598-NEW-644-CON,Consumables Item 102,CONSUMABLES,2025-02-19,100,Warehouse 3,2025-02-17,98,Supplier E,8,241,218
66374-NEW-983-WOR,Work-In-Progress Item 229,WORK-IN-PROGRESS,2025-05-27,58,Warehouse 1,2025-05-23,73,Supplier C,5,248,222
82669-NEW-723-PAC,Packaging Materials Item 231,PACKAGING MATERIALS,2025-08-14,54,Warehouse 1,2025-08-12,57,Supplier B,2,121,103
88736-NEW-184-RAW,Raw Materials Item 144,RAW MATERIALS,2024-03-28,11,Warehouse 1,2024-03-26,13,Supplier B,5,191,161
54842-NEW-463-PAC,Packaging Materials Item 357,PACKAGING MATERIALS,2024-05-26,26,Warehouse 2,2024-05-17,38,Supplier C,4,211,206
19264-NEW-138-PAC,Packaging Materials Item 398,PACKAGING MATERIALS,2024-01-30,25,Warehouse 3,2024-01-26,37,Supplier D,2,274,264
35377-NEW-190-PAC,Packaging Materials Item 198,PACKAGING MATERIALS,2025-01-13,100,Warehouse 3,2025-01-08,114,Supplier E,6,283,271
80185-006-R00-CHN-RCL-0020ST-2.0G-GEN.MTY.GT,EXCEPTIONAL LEAF TBAG 020/2.0g/06 GENTLE MINTY GREEN TEA,FINISHED GOODS,2024-01-02,21,Warehouse 1,2023-12-24,58,Supplier D,8,238,275
80147-NEW-731-CON,Consumables Item 206,CONSUMABLES,2024-09-24,55,Warehouse 2,2024-09-22,50,Supplier C,8,161,150
